Question Text,Reworded Question,Source,Category,Second Category,Theme,
Who was your childhood hero?,Who was your childhood hero?,Citieasydeals.com,Name,,Childhood,
Who was your childhood hero?,Who was your childhood hero?,L.L. Bean,Name,,Childhood,
Who was your childhood hero?,Who was your childhood hero?,Bank Fund Staff Federal Credit Union,Name,,Childhood,
Who was your childhood hero?,Who was your childhood hero?,US Bank,Name,,Childhood,
Who was your childhood hero?,Who was your childhood hero?,USCIS,Name,,Childhood,
Who was your favorite film star or character in school?,Who was your favorite film star or character in school?,Apple,Name,Favorites,Childhood,
Who was your favorite person in history?,Who is your favorite historical figure?,Citieasydeals.com,Name,Favorites,,
Who was your favorite signer or band in high school?,Who was your favorite signer or band in high school?,Apple,Favorites,,Childhood,
Who was your first roommate?,Who was your first roommate?,PayPal,Name,,,
Who was your mother's first employer?,Who was your mother's first employer?,US Bank,Firsts,,Family,
Who would you most like to meet?,Who would you most like to meet?,US Bank,Aspirations,,,
Your best friend's nickname,What is your best friend's nickname?,UpWork,Name,,,
Your childhood nickname,What was your childhood nickname?,EBay,Name,,Childhood,
Your childhood nickname?,What was your childhood nickname?,Citi,Name,,Childhood,
Your childhood nickname?,What was your childhood nickname?,American Airlines,Name,,Childhood,
Your elementary school mascot,What was your elementary school mascot?,UpWork,Other,,Childhood,
Your favorite actor,What is your favorite actor's name?,UpWork,Name,Favorites,,
Your favorite singer,What is the name of your favorite singer/band?,UpWork,Name,Favorites,,
Your favorite song,What is your favorite song?,UpWork,Favorites,,,
Your favorite sports team,What is the name of your favorite sports team?,UpWork,Favorites,,,
Your favorite writer,What is the name of your favorite writer?,UpWork,Name,Favorites,,
Your First Flight was to this city?,Where did you go the first time you flew on a plane?,Citi,Firsts,Location,,
Your First Flight was to this city?,Where did you go the first time you flew on a plane?,American Airlines,Firsts,Location,,
Your first pet's name,What is the name of your first pet?,UpWork,Name,,Pet,
Your mother's maiden name,What is your mother's maiden name?,UpWork,Name,,Family,
